wsdlURL;service name;GOWS;FGWS;DWS;CWS;AWS
http://developer.ebay.com/webservices/finding/latest/FindingService.wsdl;FindingService;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/14890_United_States_bankdemo.wsdl;BankingService;0;0;0;0;0
http://www.xignite.com/xfinancials.asmx?WSDL;XigniteFinancials;1;0;1;1;0
http://www.xignite.com/xSecurity.asmx?WSDL;XigniteSecurity;0;0;1;1;0
http://www.xignite.com/xregistration.asmx?wsdl;XigniteRegistration;1;0;1;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/16801_United_States_currency.wsdl;CurrencyService;0;0;0;0;0
http://www.webservicex.com/CurrencyConvertor.asmx?WSDL;CurrencyConvertor;0;0;0;0;0
http://www.xignite.com/xOFAC.asmx?WSDL;XigniteOFAC;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/10088_United_Kingdom_Licencing.wsdl;Licencing;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/6711_Norway_Currency.wsdl;Currency;0;0;0;0;0
http://www.xignite.com/xOutlook.asmx?WSDL;XigniteOutlook;0;0;0;0;1
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/7242_Russian_Federation_currency.wsdl;Service1;0;1;0;0;0
http://www.feedoo.com/database/NoteWebService.asmx?WSDL;NoteWebService;0;0;0;0;0
https://incometaxindiaefiling.gov.in/e-FilingWS/ditws/Get26asInfo.wsdl;GetTDS;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/service208.wsdl;FinanceService;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/1244_Canada_BacMapGetGenBankRecord.wsdl;BacMapGetGenBankRecordService;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/1200_Canada_DrugBankByCardAsText.wsdl;DrugBankByCardAsTextService;0;0;0;0;0
http://www.xignite.com/xReleases.asmx?WSDL;XigniteReleases;0;0;0;1;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/10797_United_States_FinanceService.wsdl;FinanceService;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/16730_United_States_rates.wsdl;rates;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/10145_United_Kingdom_TaxonNameService.wsdl;TaxonNameService;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/21127_United_States_test-server.wsdl;CanadaTaxCalculator;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/20151_United_States_Financial_Projections.wsdl;Financial%20Projections;0;0;0;0;0
http://www.xignite.com/xStatistics.asmx?WSDL;XigniteStatistics;0;0;1;1;0
http://www.xignite.com/xCurrencies.asmx?WSDL;XigniteCurrencies;1;0;1;1;0
http://webservices.lb.lt/ExchangeRates/ExchangeRates.asmx?WSDL;ExchangeRates;0;0;0;0;1
https://esb.alfabank.kiev.ua:8243/services/Currency?wsdl;Currency;0;0;0;0;0
http://www.xignite.com/xBATSLastSale.asmx?WSDL;XigniteBATSLastSale;0;0;0;0;0
http://www.xignite.com/xCorporateActions.asmx?wsdl;XigniteCorporateActions;1;0;1;1;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/14316_United_States_TransferService.wsdl;TransferService;0;0;0;0;0
http://www.xignite.com/xcompensation.asmx?WSDL;XigniteCompensation;0;0;0;1;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/17528_Ireland_currencyservice.wsdl;CurrencyService;0;1;0;0;0
http://www.xignite.com/xLogos.asmx?WSDL;XigniteLogos;0;0;0;0;0
http://www.xignite.com/xNews.asmx?WSDL;XigniteNews;0;0;0;0;0
http://eil.cs.txstate.edu/ServiceXplorer/wsdl_files/service39.Accounts.wsdl;FinanceService;0;0;0;0;0
